,Coin,Symbol,Date,days_ago,total_vol_usd,USD,EUR,HKD
0,Bitcoin,BTC,2021-03-19,0,116689607925.81473,61315.197932766816,51295.129601791945,475956.15819320554
1,Bitcoin,BTC,2021-03-18,1,101532021847.06647,59428.967566027764,49729.09033783585,461340.5380286415
2,Bitcoin,BTC,2021-03-17,2,77351787996.10461,59014.92563205099,49344.56583498058,458264.4709657713
3,Bitcoin,BTC,2021-03-16,3,74357197463.7094,58833.72911551456,49256.512604163196,455868.59899909195
4,Bitcoin,BTC,2021-03-15,4,73140585468.96529,58243.27060892363,48753.403312258655,452325.97603949177
5,Bitcoin,BTC,2021-03-14,5,71397235196.83829,57922.40959262911,48605.87962170269,449767.51048676536
6,Bitcoin,BTC,2021-03-13,6,70594488699.70683,57788.86810329514,48228.104397681615,448356.08895677706
7,Bitcoin,BTC,2021-03-12,7,67332756651.27568,57669.3035269179,47981.15078408417,447117.60725365253
8,Bitcoin,BTC,2021-03-11,8,64605228617.76096,57353.86147197248,47746.846623517624,445206.4819831132
9,Bitcoin,BTC,2021-03-10,9,63560545036.79726,56830.253335076224,47559.18258700685,441301.1247102005
10,Bitcoin,BTC,2021-03-09,10,63368268626.27834,56377.63347790987,46979.34120652177,437101.14822941547
11,Bitcoin,BTC,2021-03-08,11,63219904254.35453,56038.72775892988,46797.45622313987,434805.31227556104
12,Bitcoin,BTC,2021-03-07,12,63218569171.598305,56020.4877195857,46522.9359012382,434473.5799941203
13,Bitcoin,BTC,2021-03-06,13,61223272210.96276,55805.32924923426,46244.61515359069,433314.43028799153
14,Bitcoin,BTC,2021-03-05,14,60749587836.169136,54700.273439277444,45969.83629700157,424586.2574493429
15,Bitcoin,BTC,2021-03-04,15,60355381275.54549,54410.85629451601,44724.63565696625,421888.1769936038
16,Bitcoin,BTC,2021-03-03,16,59984971691.807,52328.5359126325,44151.78354799639,406553.47763922054
17,Bitcoin,BTC,2021-03-02,17,59679588927.08056,51313.09262027362,43033.77643908508,398402.0349367721
18,Bitcoin,BTC,2021-03-01,18,59212268141.16633,50577.45746915202,41970.03402467931,392292.5171991739
19,Bitcoin,BTC,2021-02-28,19,58387006275.72827,49849.378713583144,41322.446632243096,386569.46957915917
20,Bitcoin,BTC,2021-02-27,20,57418251743.06042,49787.33995949672,41197.900141066006,386148.1193588587
21,Bitcoin,BTC,2021-02-26,21,56568112294.26829,49091.81488232977,41137.103142082,381117.1865258093
22,Bitcoin,BTC,2021-02-25,22,53568946625.62234,49019.36859236582,40960.3372001344,380554.7602583862
23,Bitcoin,BTC,2021-02-24,23,53499537416.816475,48727.45120080115,40721.482241058366,378099.92668084835
24,Bitcoin,BTC,2021-02-23,24,52059921385.31978,48691.894831704405,40159.69796002174,377550.1356597603
25,Bitcoin,BTC,2021-02-22,25,51948388930.75819,48532.23678981703,40067.294267744,376489.06955818966
26,Bitcoin,BTC,2021-02-21,26,50989764248.82767,46992.665450048495,38648.27183141423,364385.35723956604
27,Bitcoin,BTC,2021-02-20,27,48104078384.27405,46653.52639939581,38645.72851409784,361868.0775169135
28,Bitcoin,BTC,2021-02-19,28,46146324828.48082,46551.48747675472,38561.29706326955,361076.61261344794
29,Bitcoin,BTC,2021-02-18,29,41478786533.38212,44970.163459946736,37203.27658845245,348821.41601467266
