,Coin,Symbol,Date,days_ago,total_vol_usd,USD,EUR,HKD
0,Ethereum,ETH,2021-03-19,0,62714754623.34122,1969.9797177628186,1625.6784825705404,15273.439899888312
1,Ethereum,ETH,2021-03-18,1,53799590366.036766,1941.4267676797988,1612.7176606415142,15052.037043962915
2,Ethereum,ETH,2021-03-17,2,44957939435.53464,1929.367692879665,1601.0441782095693,14963.835706068223
3,Ethereum,ETH,2021-03-16,3,40313400449.155266,1927.7207203999014,1592.118078899685,14958.571012826878
4,Ethereum,ETH,2021-03-15,4,36682073651.905846,1869.3311016255,1571.1970922205521,14509.72744817499
5,Ethereum,ETH,2021-03-14,5,35420463945.47327,1866.0715447008808,1561.4950793178928,14486.108133643027
6,Ethereum,ETH,2021-03-13,6,35353973627.380775,1837.5330305439452,1550.2384162844587,14276.253497553525
7,Ethereum,ETH,2021-03-12,7,34796767875.96328,1836.238895248608,1532.811935659136,14221.17447763221
8,Ethereum,ETH,2021-03-11,8,33064349740.90669,1828.7548332342565,1526.361077784806,14200.701893675643
9,Ethereum,ETH,2021-03-10,9,32950345872.852455,1826.0574768119818,1523.9490496757749,14167.503454995283
10,Ethereum,ETH,2021-03-09,10,32785949401.529545,1817.1329628084297,1521.058403513238,14112.127159114672
11,Ethereum,ETH,2021-03-08,11,31746963272.74199,1808.5512173614395,1519.4832420856903,14043.852340615913
12,Ethereum,ETH,2021-03-07,12,31736119376.25847,1802.3110916881178,1511.4361046005724,13988.711432892076
13,Ethereum,ETH,2021-03-06,13,31604939381.863796,1791.047851830107,1501.7381012761361,13906.680597927454
14,Ethereum,ETH,2021-03-05,14,31257932436.53519,1788.6152102806425,1493.8298676995628,13868.475186713513
15,Ethereum,ETH,2021-03-04,15,31147565432.965343,1780.1596459528505,1481.5315598733446,13822.93965082388
16,Ethereum,ETH,2021-03-03,16,31094969328.98433,1770.9361793697751,1470.2059305464818,13746.803545548915
17,Ethereum,ETH,2021-03-02,17,30744899541.009495,1727.463096224567,1448.7386531118289,13412.265323921036
18,Ethereum,ETH,2021-03-01,18,30686971237.08834,1661.9279698998157,1394.6916142678956,12902.136814761585
19,Ethereum,ETH,2021-02-28,19,30352405292.089714,1628.391533792655,1338.0200122698157,12627.769246678601
20,Ethereum,ETH,2021-02-27,20,29848246930.850037,1579.4271687603093,1310.6355148991736,12250.466725094875
21,Ethereum,ETH,2021-02-26,21,29651777827.921936,1570.3996896340539,1303.5510927726768,12179.78443284827
22,Ethereum,ETH,2021-02-25,22,29416647567.957836,1563.9246059011416,1292.4081868676358,12126.45244471265
23,Ethereum,ETH,2021-02-24,23,29049758215.725,1546.4996211167372,1291.570980744734,12000.040612560999
24,Ethereum,ETH,2021-02-23,24,28537887161.018692,1539.0484290947375,1286.9128961562983,11948.17931725477
25,Ethereum,ETH,2021-02-22,25,28436574756.548508,1497.0891042633873,1238.8187774413889,11613.676211768752
26,Ethereum,ETH,2021-02-21,26,28221473460.214203,1480.1295768477528,1226.074215759295,11480.625062819592
27,Ethereum,ETH,2021-02-20,27,27821295284.96765,1468.8601037286776,1208.0375528297827,11389.673441721505
28,Ethereum,ETH,2021-02-19,28,27345983317.046707,1450.988746804119,1201.9381363251653,11254.594214586148
29,Ethereum,ETH,2021-02-18,29,26379565439.25233,1416.661552837565,1171.7547702292186,10988.647000126195
